,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
492,ayo pilih alin alin bawel ba et semu diomo in eliat banci jalan omo in,0,1,0,0,0,0,0,0,0,0,0,0
493,adopsi perintah t nih,0,0,0,0,0,0,0,0,0,0,0,0
494,prof an prof diskualifikasi aikan forum buka aco bi biar prof muka agama ulama harusn melur,0,0,0,0,0,0,0,0,0,0,0,0
495,biadab oknum aparat keparat,1,1,0,1,0,0,0,0,1,0,1,0
496,haha jancuk,0,1,0,0,0,0,0,0,0,0,0,0
497,untu kunti,0,0,0,0,0,0,0,0,0,0,0,0
498,kaisoo couple at bandara ta gal 1 maret kemarin kalah hunhan korea sih ai cina cina korea suka ba et o kaisoo fact,0,0,0,0,0,0,0,0,0,0,0,0
499,wkwk ussr blok jaman jokowi ahok gubernur too too anies,1,0,1,0,0,0,0,0,1,1,0,0
500,asi obrol bosan nu gu transit akhirn teman sih e kara,0,0,0,0,0,0,0,0,0,0,0,0
501,mata picek matan lihat belah,1,1,1,0,0,0,1,0,0,1,0,0
502,maaf sebenarn twitter pe kali bego,0,1,0,0,0,0,0,0,0,0,0,0
503,kocak kalabo emak du,1,1,1,0,0,0,0,0,1,1,0,0
504,hina catat buka lupa pe alam pilih kepala daerah daerah khusus kota jaka a 2017 diusu ai gerindra hasil menumba tahan diusu koalisi be r motor,0,0,0,0,0,0,0,0,0,0,0,0
505,me enal pribadi perempuan pilih kepala daerah bondowoso radar jember,0,0,0,0,0,0,0,0,0,0,0,0
506,na mayoritas buddha pendet demo googli video demo thailand biar tau,0,0,0,0,0,0,0,0,0,0,0,0
507,komunis main,0,0,0,0,0,0,0,0,0,0,0,0
508,suka kesal gue confess gue gilir gue jomlo tau omo silit,0,1,0,0,0,0,0,0,0,0,0,0
509,ehhhhh bandot kritik jokowi e mencret darah is oke hina fitnah ambil tindak jokowi presiden pimpin negara pimpin agama kaprah luuuu,1,1,1,0,0,0,0,0,1,1,0,0
510,balas usir buddha kura ajar etnis muslim roh disi kir data sensus duduk nmar,1,0,0,1,1,0,0,0,0,0,0,1
511,astagfirullah mata gue noda kutuk e bokep,1,1,1,0,0,0,0,0,1,1,0,0
512,allah mema gila utetapi allah mem ukan rindu kin baitullah,0,0,0,0,0,0,0,0,0,0,0,0
513,kontol iya hapus,1,1,1,0,0,0,0,1,0,1,0,0
514,pe obat monyet kedih,0,0,0,0,0,0,0,0,0,0,0,0
515,pergi ba,1,1,1,0,0,0,0,0,1,1,0,0
516,kebi an bi toleransi e bikin gue pikir ala katolik paus wakil kristus,0,0,0,0,0,0,0,0,0,0,0,0
517,tertawa kunti,0,0,0,0,0,0,0,0,0,0,0,0
518,amin rabi tolo indonesia alah lebiiihhhh,1,0,1,0,0,0,0,0,1,1,0,0
519,ustaz partai adil sejahtera yudi widiana tilap duit baha agama juz liqo felix kwetiau alumni 212 mi kem pura pura budek gilir bu,1,1,0,1,1,0,0,0,0,0,1,0
520,amin semoga istikamah khawatir cibir orang a gap uji nih at ban k orang orang dulun lahn suram kafir taubat tokoh jua agama islam,0,0,0,0,0,0,0,0,0,0,0,0
521,video call deh an gubernur seda dinas istanbul turki video call lapor pe hibur malam karaoke sense diskotik eksotik tutup hormat keras bantu ole,0,0,0,0,0,0,0,0,0,0,0,0
522,bela pancasila daulat negara mendu le serkan at ancam ta,1,0,1,0,0,0,0,0,1,0,0,1
523,proyek racen ganjal lantik anies temu racen foto tokoh ai politik,1,0,1,0,0,0,0,0,1,1,0,0
524,sih ahok kutil babi,1,1,1,0,0,0,0,0,1,1,0,0
525,soekarno konotasi rejim anti demokrasi ndg embel embel presiden umur hidup,0,0,0,0,0,0,0,0,0,0,0,0
526,hajar juragan partai komunis indonesia,1,0,0,1,0,1,0,0,0,0,1,0
527,ba sih e kg b tidur,0,1,0,0,0,0,0,0,0,0,0,0
528,jokowi kasihan goreng pbb,1,0,1,0,0,0,0,0,1,1,0,0
529,amin semoga jokowi presiden,0,0,0,0,0,0,0,0,0,0,0,0
530,meni menyimpa lgbt nikah hidup berkah dunia ru k zina ge an stop kawin,0,0,0,0,0,0,0,0,0,0,0,0
531,kepala polisi republik indonesia harusn mundur jabatann,1,0,1,0,0,0,0,0,1,1,0,0
532,berda ekonomi pe ntren ulama jawa barat duku jokowi pilih presiden 2019 jokowi 2019,0,0,0,0,0,0,0,0,0,0,0,0
533,sema at kantor staf presiden publikasi giat presiden supa t tau presiden kerja keras memba uji nasional ba kerja kerja kerja,0,0,0,0,0,0,0,0,0,0,0,0
534,cocot,0,1,0,0,0,0,0,0,0,0,0,0
535,tuju makan duku presiden upa me ura i kekua an asi me ura i ekspor mentah me ganti kont rugi indonesia,0,0,0,0,0,0,0,0,0,0,0,0
536,kristen nu ntara ti contoh huria kristen batak protestan huria kristen batak protestan gereja kristen jawa gereja kristen jawa gereja undan gereja manado gereja malu gereja papua 2 ciri khas sesuai tradisi suku,0,0,0,0,0,0,0,0,0,0,0,0
537,bentar uta susilo bambang yudhoyono njiiie,1,0,1,0,0,0,0,0,1,1,0,0
538,mu kin ban k mas at tio hoa pancasialis oi jawa ekspos contoh ta kwik ekonom ustaz felix siauw,1,0,0,1,0,1,0,0,0,0,1,0
539,freepo diam negosiasi kalah,0,0,0,0,0,0,0,0,0,0,0,0
540,negara kakak k tipu bocah sekolah dasar dokumenn hila huh,1,0,0,1,0,0,0,0,1,0,1,0
541,allah subhanahu wa taala sembah du biadab,1,1,0,1,1,0,0,0,0,0,1,0
542,ogah prabowo gatot oke,1,0,1,0,0,0,0,0,1,1,0,0
543,perban kalah baca cerdas biar cap goblok v just kiddi maaf balas han deh an intelligence quotient me e i tuli v,0,0,0,0,0,0,0,0,0,0,0,0
544,calon gubernur jawa te ah nomor urut 1 mempe an program gul rivaln kait buka lapa an kerja ban k 5 juta 5 ganjar te ah situasi ekonomi at kemu buka lapa,0,0,0,0,0,0,0,0,0,0,0,0
545,burik burik panuan kutu jamur ha emak ra ajar,0,1,0,0,0,0,0,0,0,0,0,0
546,we jancuk ajar,0,1,0,0,0,0,0,0,0,0,0,0
547,amin rais himbau mas at an sih ai pilih pimpin,0,0,0,0,0,0,0,0,0,0,0,0
548,jaman negeri kamis pakai baju kotak kotak kakak k seragam sekolah kristen jumat wajib pakai celana panja doa pakai baju koko h,0,0,0,0,0,0,0,0,0,0,0,0
549,najis edm direct message balas bodoh doa pentas mena,1,1,1,0,0,0,0,0,1,1,0,0
550,cowok ban k bacot sih anjing gue ar ra,1,1,1,0,0,0,0,0,1,1,0,0
551,rizal ramli mayoritas mas at jokowi klik rakyat merdeka on line calon presiden t,0,0,0,0,0,0,0,0,0,0,0,0
552,indonesia lawyers club boediono century intens kara lupa kuncin butuh 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
553,maju gubernurn ra relawann,1,0,1,0,0,0,0,0,1,1,0,0
554,kin sih orang sih a gap pali sih munafik pura terpenti sih bi,0,0,0,0,0,0,0,0,0,0,0,0
555,kristen prinsip inkulturi sih agama penti katolik indonesia kristen indonesia mu kin asi islam kental arab,0,0,0,0,0,0,0,0,0,0,0,0
556,copras calon presiden pikir mikirrrr pikir sih kowi 1 periode babak bur,1,0,1,0,0,0,0,0,1,1,0,0
557,tau jokowi gu jilat jilat prabowo r lintah,1,1,1,0,0,0,0,0,1,1,0,0
558,do o do oin motor klakson be ubi2 l merah oi do o berisik no oke teman chain na is anti darah puteeeh,1,1,1,0,0,0,0,0,1,1,0,0
559,prabowo suka k anye negatif k an me geli,0,1,0,0,0,0,0,0,0,0,0,0
560,presidenn jokowi gubernurn anton hina program selaras jalan,0,0,0,0,0,0,0,0,0,0,0,0
561,the lie tju siswi kelas 1b katolik nto petrus 1984 istrin ronaldo pardede siswa kelas 1a katolik nto petrus 1984,0,0,0,0,0,0,0,0,0,0,0,0
562,deh ar ulama otot kriminal sih ulama a le serkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
563,benco bacot cewek kakak banci amin dika duit bacotn nmendi cakap jelek kakak suram mentioned gue su kutip twit,1,1,1,0,0,0,1,1,0,1,0,0
564,cina cina sebaikn usir meru k kerjaann,1,0,0,1,0,1,0,0,0,0,0,1
565,ayo ba indonesia ber etnis cina ahok,1,0,0,1,0,1,0,0,0,0,0,1
566,tolo lihat bok giln an buta budek nu gu,0,0,0,0,0,0,0,0,0,0,0,0
567,enak banget h om jawabann bom susilo bambang yudhoyono debat ter meni gal,0,0,0,0,0,0,0,0,0,0,0,0
568,kafir alquran situ sehat,0,0,0,0,0,0,0,0,0,0,0,0
569,duku calon presiden sukan atur jokowi prabowo atur supa mena pilih presiden 2019,1,0,1,0,0,0,0,0,1,1,0,0
570,hebat ahok bi maaf bini salam 7 surat pemberitahuan ono kabur malu ulama laku bejat,1,1,1,0,0,0,0,0,1,1,0,0
571,didu ukan islam alquran me ajar amoral ansor agama islam posisi moraln,1,1,0,1,1,0,0,0,0,0,1,0
572,owner seo tai adminn sayang 3 xce xce xcf xd0 xcf xd1 xc6 xce xd0 xbcs,0,0,0,0,0,0,0,0,0,0,0,0
573,oke sip otak bolot bingung,0,1,0,0,0,0,0,0,0,0,0,0
574,hidup prabowo anak soemitro pe khianat ba,1,0,1,0,0,0,0,0,1,1,0,0
575,perek ti doll,1,1,1,0,0,0,0,1,0,1,0,0
576,pilih presiden tua pe khianat negara,1,0,1,0,0,0,0,0,1,1,0,0
577,ahok dibl nista agama kayak politikus koruptor dipa gila uru hukum eles pakai kit hati hati keteru mati,1,0,1,0,0,0,0,0,1,1,0,0
578,tolol aji agama islam sp i ajin k,1,1,1,0,1,0,0,0,0,1,0,0
579,new post festival pesona tambora a kat eksotisme alam buda dompu bima,0,0,0,0,0,0,0,0,0,0,0,0
580,ba laku kristen istrin muslim bi deh an strategi te entu,0,0,0,0,0,0,0,0,0,0,0,0
581,presiden joko widodo jokowi buka res 29 himpun mahasiswa katolik republik indonesia himpun mahasiswa katolik republik indonesia berpe konteks politik 2018 jaga kondisi kontestasi politik isi deh an adu program gaga ra,0,0,0,0,0,0,0,0,0,0,0,0
582,cebo kakak fakta dusta cebo dika dusta realita cebo er sih emak bikin gemas,1,1,0,1,0,0,0,0,1,0,1,0
583,cina kafir ba t r komunis,1,1,1,0,1,1,0,0,0,1,0,0
584,t kaum bani cebo,1,1,0,1,0,0,0,0,1,0,1,0
585,na is anjir cupu fik,1,1,1,0,0,0,0,0,1,1,0,0
586,kakak edan,0,1,0,0,0,0,0,0,0,0,0,0
587,oh mami kontol be r panja jari sete ah panja t mu kin 3 entot mami mami capai,0,1,0,0,0,0,0,0,0,0,0,0
588,kuliah maroko anies super gubernur mu kin jaga pera an enak k presiden,0,0,0,0,0,0,0,0,0,0,0,0
589,maha nan suci maun npe hina presiden dile umur eluhn tahan cina mi l tahan mu kin eluhn perintah orde su,1,1,0,1,0,0,0,0,1,0,1,0
590,mema antek ase adikn prabowo prabowo pro amerika,1,0,1,0,0,0,0,0,1,1,0,0
591,jodoh presiden pe antin wanita tajikistan t sedih,0,0,0,0,0,0,0,0,0,0,0,0
592,resmi berkat gereja katolik hati kudus yesus batu gantu ambon,0,0,0,0,0,0,0,0,0,0,0,0
593,7 eliat era wkwk gue era tot setan,0,1,0,0,0,0,0,0,0,0,0,0
594,eh wa awan selandia ra k ret berita k ret sebar kasih konferensi pers laku,1,1,0,1,0,0,0,0,1,0,1,0
595,citra ah prabowo tidur,1,0,1,0,0,0,0,0,1,1,0,0
596,ustaz subki al bughury sih sos i mendu pilih kepala daerah damai kabupaten sinjai hoaks benci isu ra,0,0,0,0,0,0,0,0,0,0,0,0
597,retweet nsen sih entot deh an cewek cantik hijab 1 blowjob kontol hijab entothijab sepo kon,0,1,0,0,0,0,0,0,0,0,0,0
598,bia bro ciri ciri cebo adu domba sok lugu aman cebo buzzer receh,1,1,0,1,0,0,0,0,1,0,1,0
599,detikcom an buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah pilih pilih 2019,0,0,0,0,0,0,0,0,0,0,0,0
600,front bela islam ta darul islam ta isis hn propaganda politik,0,0,0,0,0,0,0,0,0,0,0,0
601,prabowo tua generasi muda bi blusuk jokowi muda at seri blusuk pulau,1,0,1,0,0,0,0,0,1,1,0,0
602,mohon maaf kara pilih presiden pilih jokowi like prabowo,0,0,0,0,0,0,0,0,0,0,0,0
603,berani sepe in minoritas tau rahh bala milik tuhan allah,0,0,0,0,0,0,0,0,0,0,0,0
604,dah shopee k a,1,1,0,1,0,0,0,0,1,0,1,0
605,bu pustaka bisu bu ha emak nak diam diam suara,0,0,0,0,0,0,0,0,0,0,0,0
606,baca bandi modal hasil panja r antek asi,1,0,1,0,0,0,0,0,1,1,0,0
607,kerja tugas p ar seni buda 3,0,0,0,0,0,0,0,0,0,0,0,0
608,kolam bua oke,0,0,0,0,0,0,0,0,0,0,0,0
609,yu mari sok sok presiden 2019,0,0,0,0,0,0,0,0,0,0,0,0
610,mu kin gue bani epost milik nik,0,0,0,0,0,0,0,0,0,0,0,0
611,cebo sena lihat keja an anis sirik parahn junju an puji habis habis laku buruk,1,1,0,1,0,0,0,0,1,0,1,0
612,busuk mawati agama islam takut dirin ejala gila nih nenek,1,1,1,0,0,0,1,0,0,1,0,0
613,obyek vital pe amanann lemah gedu dewan wakil rakyat semoga hkann undang undang anti terorisme dewan wakil rakyat ran bom bunuh amin doa bia kabul,0,0,0,0,0,0,0,0,0,0,0,0
614,jalan platform facebook jalan bom gede,0,0,0,0,0,0,0,0,0,0,0,0
615,orang katolik coba,0,0,0,0,0,0,0,0,0,0,0,0
616,bera i cacat,1,1,1,0,0,0,1,0,0,1,0,0
617,haha roti bua nikah,0,0,0,0,0,0,0,0,0,0,0,0
618,luhut baji an,1,1,1,0,0,0,0,0,1,1,0,0
619,me every night naaaaa anje malu ba ila aaaaaaaaa jijik ba et aaaaaaaaa danta aaaaaaaaaaa ila aaaaaaaaaaaaaaa,0,1,0,0,0,0,0,0,0,0,0,0
620,kalong puji butut butut goblok goblok,0,1,0,0,0,0,0,0,0,0,0,0
621,bar gue adek adek kunyuk bau kayak sempak kuda,0,1,0,0,0,0,0,0,0,0,0,0
622,tuhan iblis iblis tuhan agama onta,1,1,0,1,0,0,0,0,1,0,1,0
623,as lamu alaykum lini harap bantu korbanphkfreepo,0,0,0,0,0,0,0,0,0,0,0,0
624,jenderal propaganda pera propaganda jual utaman partai komunis indonesia cina sih,1,0,0,1,0,1,0,0,0,0,1,0
625,entot,0,1,0,0,0,0,0,0,0,0,0,0
626,pe presiden joko widodo me negara indonesia be r kuat ulama umara iri an sele kait pe presiden simak video jokowisilaturahmide anulama jokowi cinta ulama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
627,akak bari cebo kit hati pakai isu racen nyera anies gagal lantik,1,1,0,1,0,0,0,0,1,0,1,0
628,prabowo sih mulut busuk rizieq anies fadli zon fahri kumpul sih ah negara laku kakak sih ah,1,1,1,0,0,0,0,0,1,1,0,0
629,bak indonesia pelabur wujud pelua kerja pelabur jajah ekonomi an l ubah selagi,0,0,0,0,0,0,0,0,0,0,0,0
630,hindu nu ntara buddha nu ntara kho hucu nu ntara kristen nu ntars wro coba argumenn prof mbil opi tertawa tertawa,0,0,0,0,0,0,0,0,0,0,0,0
631,didik pikir ekonomi sih ri ah ekonomi pemba unan ekstremis,0,0,0,0,0,0,0,0,0,0,0,0
632,buzzer idiot,0,1,0,0,0,0,0,0,0,0,0,0
633,mende ar suara bom guntur geledek petir gunu letus mende ar suara ta ismu bi sodomi,0,0,0,0,0,0,0,0,0,0,0,0
634,calon gubernur jabar bicara toleransi muzakarah ikat cendekiawan muslim indonesia jabar,0,0,0,0,0,0,0,0,0,0,0,0
635,manusia otak du kara teriak teriak bubar partai komunis indonesia buku baca bodoh otak koso mulut p p,1,1,1,0,0,0,0,0,1,1,0,0
636,ki h pe emis hudi buta,0,0,0,0,0,0,0,0,0,0,0,0
637,pelak naan presiden jokowi promosi asia ames2018 gencar ratas presiden promosi asi games gencar,0,0,0,0,0,0,0,0,0,0,0,0
638,cebo emak jagon bikin sebar hoaks,1,1,0,1,0,0,0,0,1,0,1,0
639,kreativitas mas at deh berda tiada batas meni katkan ekonomi a me hidup roda ekonomi mikro deh salam berda deh on prambanan shari happiness,0,0,0,0,0,0,0,0,0,0,0,0
640,partai komunis indonesia ramai ramai antek komunis opini nyata me abur keba kit partai komunis indonesia,1,0,0,1,0,1,0,0,0,0,1,0
641,isu penti tuan guru bajang zainul majdi isu tuan kuat ekonomi umat sejahtera t buda pancasila,0,0,0,0,0,0,0,0,0,0,0,0
642,gelap 5 gelap ranah malam gelap mata ranah buta gelap otak tiada ilmu gelap hati tiada agama gelap hidup tiada kerja,0,0,0,0,0,0,0,0,0,0,0,0
643,revisi hukum pidana deh an masuk klausul me enai kerja seks komersial sukarela at butuh indonesia gencar promosi surga wi ta internasional sen tan pagar,0,0,0,0,0,0,0,0,0,0,0,0
644,rpgpedia gubernur jaman now deh an t pilih nomor 1 kamiganjar sin kanda bant3 lamn temann rpg nama rudy temann rudy,0,0,0,0,0,0,0,0,0,0,0,0
645,woi bolot,1,1,1,0,0,0,1,0,0,1,0,0
646,bicaran remeh temeh surat pemberitahuan kalaje ki beliau tau oposisin surat pemberitahuan ti nyinyir stres strok emak dosen laku bacot gede hasil kar anak asuhn mayor du,1,1,0,1,0,0,0,0,1,0,1,0
647,keanekaragaman buda suku agama sesi guhn keka an djarot hadap pese a ercabsus partai demokrasi indonesia jua an kota gunu sitoli gubernur zaman now djarot ar2 sumatra utara pilih hebat djarot armena gunu sitoli partai demokrasi indonesia juang an,0,0,0,0,0,0,0,0,0,0,0,0
648,ar temu tuka jual pi maki aba gara gara duku lgbt aduh,0,1,0,0,0,0,0,0,0,0,0,0
649,tipe bela andal cebo muas sih hwatn,0,0,0,0,0,0,0,0,0,0,0,0
650,ajak muslim cari muhammad sebenarn an sih ai enak enak cocok cocok penis ba su h,1,1,0,1,1,0,0,1,0,0,1,0
651,eh du mention mention katan putar alun bi forward berita anal kelompok manusia homo cerdas wkwk wkwk wkwk,1,1,0,1,0,0,0,1,0,0,1,0
652,hehe tipikal bani bodoh bantah a du,1,1,0,1,0,0,0,0,1,0,1,0
653,improvi sih lagu al qur an tafsir k su h pikir murottal tingkat tilawatil qur an tingkat raut muka tafsir kentut tafsir entot tafsir kawin tafsir aji,1,1,1,0,0,0,0,0,1,1,0,0
654,semoga masuk 2 deh an wajah seri seri jumat berkah wajah wajah mukmin seri seri al 22 wajah wajah kafir,0,0,0,0,0,0,0,0,0,0,0,0
655,panik ganti presiden tau calonn ups mu kin bi ban k pimpin ban k koruptor te a kap ganti presiden tau bi negosiasi,1,0,1,0,0,0,0,0,1,1,0,0
656,thread tenaga kerja indonesia malaysia deh an jam kerja enam belas jam sebenern kila mema jahanam,1,1,0,1,0,0,0,0,1,0,1,0
657,ekonomi hancur subsidi cabut bahan bakar minyak mahal listrik karuan sembako terja t politik kisruh agama nista bijak pro t ham terbe kalai leadership lemah periode,1,0,1,0,0,0,0,0,1,1,0,0
658,indonesia me hormat as pe kemarin omo nwahhh roman roman ti antek asi,1,0,1,0,0,0,0,0,1,1,0,0
659,usir a asi cina selamat hutan,1,0,1,0,0,1,0,0,0,1,0,0
660,huh cada nak tutup tahfiz berbondo harta manusia melayu kutuk habis habis agama islam katan te oke rupa lalak hudi live kat media sosial te ah it kat zouk sola,0,0,0,0,0,0,0,0,0,0,0,0
661,aliano calon presiden 2019 indonesia bebas huta indonesia bubar kiamat umrah gratis 1,0,0,0,0,0,0,0,0,0,0,0,0
662,cipta hoaks presiden wakiln,1,0,1,0,0,0,0,0,1,1,0,0
663,swasta katolik iya tk sih e swasta katolik ketemu teman 12 belaka an pikir 1 2 situ,0,0,0,0,0,0,0,0,0,0,0,0
664,muncul antek antek partai komunis indonesia berani muncul tera tera an mudah mudah perintah ti gal diam,1,0,0,1,0,1,0,0,0,0,1,0
665,su pin siswi kelas 1c katolik nto petrus 1984 istrin ronaldo pardede siswa kelas 1a katolik nto petrus 1984,0,0,0,0,0,0,0,0,0,0,0,0
666,kualitasn ankan ba r 31 mar gratis mendi pakai antena tonton indon ar,0,0,0,0,0,0,0,0,0,0,0,0
667,1 me andu ekst lidah bua n2 me andu alkohol n3 milik ra manis n4 reaksi hadap obat n5 aman anak anak bayi n6 kema fi er off sentuh luka n7 perih l,0,0,0,0,0,0,0,0,0,0,0,0
668,islam data indonesia deh an dialog kebuda an ala menda r islam deh an mudah berkemba islam buda dipe enta,0,0,0,0,0,0,0,0,0,0,0,0
669,onta,0,0,0,0,0,0,0,0,0,0,0,0
670,sih khawatir dek t mara henti etwit penti sih takut antusiasme t merosot lihat kader ai spe i pe an an be r t te arik lihat psi trust hil,0,0,0,0,0,0,0,0,0,0,0,0
671,pera an walubi umat buddha indonesia usir bantai,1,0,0,1,1,0,0,0,0,0,1,0
672,gilir ambruk a plo o kakak a kena tetelo putin prabowo indonesia 2019 ganti presiden,1,1,1,0,0,0,0,0,1,1,0,0
673,beda kristen agama perca yesus juru selamat tuhan mk terima roh kudus penolo pe hibur kuat,0,0,0,0,0,0,0,0,0,0,0,0
674,presiden soeha o resmi museum taman mini indonesia indah,0,0,0,0,0,0,0,0,0,0,0,0
675,sindir deh 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
676,perca akun wa 081381413774 perca video camera sex bukti video call detik suruh transfer ale x87ni muka kakak monyet,1,1,1,0,0,0,1,0,0,1,0,0
677,bicara ins tonton youtube laku eksperimen tonton youtube bi modifikasi pembuatn aduh geblek,1,1,1,0,0,0,0,0,1,1,0,0
678,presiden jokowi lembut launchi bandara ajati 24 mei,0,0,0,0,0,0,0,0,0,0,0,0
679,pojok polisi selidik presiden partai adil sejahtera kemu unsur pidana,0,0,0,0,0,0,0,0,0,0,0,0
680,kristen teman ban k gereja kristen jawi wetan terap kehidupann beda deh an kristen indonesia daerah kultur buda nu ntara agam kolaborasi agama k,0,0,0,0,0,0,0,0,0,0,0,0
681,jokowi serah atn ganti jokowi le serkan jokowi kisas jokowi,1,0,1,0,0,0,0,0,1,0,0,1
682,nasional demokrat bahan te awa anak indonesia omo an kader2n bunyi calon wakil presiden jokowi kah lan kader kader ai t peduli kecuali 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
683,umat islam bodoh pakai fiksi ala lman rusdhi the ntanicverse bera l bodoh sepe i fiksi imajiner a an2 tuju bela ban k nara,0,0,0,0,0,0,0,0,0,0,0,0
684,homo pali sial baji an goblok gian ut anji tepi jalan semoga terima bala,1,1,1,0,0,0,0,1,0,1,0,0
685,me ajak anak anak ledak bom mu kin muncul paham islam tindak keji aman abdurrahman,0,0,0,0,0,0,0,0,0,0,0,0
686,pacar bowie cece sih banci lon banci t iln,0,1,0,0,0,0,0,0,0,0,0,0
687,direct message sis zon k a kesal bangsat,1,1,1,0,0,0,0,0,1,1,0,0
688,alah kontol,1,1,1,0,0,0,0,1,0,1,0,0
689,ocok memek iya,0,1,0,0,0,0,0,0,0,0,0,0
690,baba kontol tebal jembut rimbun colin bikin iler,0,1,0,0,0,0,0,0,0,0,0,0
691,dar situ efollowback umrah onta makkah salam kenal dav,0,0,0,0,0,0,0,0,0,0,0,0
692,bubar komisi berantas korupsi biar lelua koruptor memperka negeri,1,0,0,1,0,0,0,0,1,0,0,1
693,su h ba jawa dipega jokowi antek sedih,1,0,1,0,0,0,0,0,1,1,0,0
694,rezim orang kakak berani t il r kaca mohon ambil tindak,1,0,1,0,0,0,0,0,1,0,0,1
695,otoriter buktin ott ai politikn dita kap,1,0,0,1,0,0,0,0,1,0,1,0
696,do rumah privasi deh an tuhan mempe aruhi buda sok tuju deh anmu mero kkan sistem keluarga normal manusia tolak buda lgbt xef,0,0,0,0,0,0,0,0,0,0,0,0
697,cebo badut cina dik in ua receh galakn main x,1,1,0,1,0,1,0,0,0,0,1,0
698,berkat salat me aji berkat ajar ilmu dikemba kafir lukman,1,0,0,1,1,0,0,0,0,0,1,0
699,heran mema buda indonesia sepe i a eria fahri fadli jualann mema teater narasumber berita kamera mema cari teater insentif monyet,1,1,0,1,0,0,0,0,1,0,1,0
700,cepat ikan ekor cha bin hyung pe dibully sih e titit darah pe habis,0,1,0,0,0,0,0,0,0,0,0,0
701,cina non muslim bantai sih cina usir do,1,0,0,1,1,1,0,0,0,0,0,1
702,,0,0,0,0,0,0,0,0,0,0,0,0
703,fed well motivasi jara rebut bias merch a luma murah lesbi cowokn cantik,0,0,0,0,0,0,0,0,0,0,0,0
704,pe an an lantas orang agama islam non muslim terima aneh aneh rezim zaman susilo bambang yudhoyono kayak tepuk jidat intin 20,0,0,0,0,0,0,0,0,0,0,0,0
705,tau islam belaga bunyi pidato jokowi sesuai a t qur an allah ubah nasib kaum kecuali me ubahn ganti presiden t me ganti tuhan me ganti t,1,1,1,0,1,0,0,0,0,1,0,0
706,pera an kemarin kemarin pakai axis aman aman deh rumah 2 mi gu kacrut kali jari ann,1,1,0,1,0,0,0,0,1,0,1,0
707,enak bego tuduh tuduh laku,0,1,0,0,0,0,0,0,0,0,0,0
708,otak taruh ti taruh co orang,1,1,1,0,0,0,0,0,1,1,0,0
709,sih dakwa nista agama alias sih ahok babi jamban morfin ua t jaka a,1,1,1,0,1,0,0,0,0,1,0,0
710,bom gue nih takut,0,0,0,0,0,0,0,0,0,0,0,0
711,kinlah gabu an disoko berke tolo menolo ranah akhirn nikmat ba agama negara soko pakat harap,0,0,0,0,0,0,0,0,0,0,0,0
712,alquran han kitab sih ah berbaha kacau,1,1,0,1,1,0,0,0,0,0,1,0
713,gila jual pc jucan 100 gue pikir wkwk edan,0,1,0,0,0,0,0,0,0,0,0,0
714,dar le sepatu kaos kaki bau ba et woiii uji nasional kayak ambu silit,0,1,0,0,0,0,0,0,0,0,0,0
715,najis sok ba et jutek iyuuuh gue nyk,1,1,1,0,0,0,0,0,1,1,0,0
716,kali masuk surga kecuali hudi nasrani han a an a an koso belaka qs 2 111,0,0,0,0,0,0,0,0,0,0,0,0
717,mata sipit ban k sipit semacamn but i just love my eyes sok much,0,0,0,0,0,0,0,0,0,0,0,0
718,bubar dewan wakil rakyat komisi berantas korupsi bodoh,1,1,0,1,0,0,0,0,1,0,0,1
719,brondo kontol cakap panja crot,0,1,0,0,0,0,0,0,0,0,0,0
720,ramai han bisu bua malu takut kepala tembus peluru,0,0,0,0,0,0,0,0,0,0,0,0
721,taeyo nct cina hehe hujat please fanbase terima kasih cina gede dibandi member terima kasih istirahat lihat terima kasih,0,0,0,0,0,0,0,0,0,0,0,0
722,atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat han bacot bodoh bodoh,1,1,1,0,0,0,0,0,1,1,0,0
723,islam lara kaum lelaki rupa kaum wanita pakai hia perilaku sebalikn,0,0,0,0,0,0,0,0,0,0,0,0
724,kuala lumpur a t al alquran hujah ulama me haram pilih muslim wakil t teliti sebenarn rujuk kafir musuh islam pe anutn,0,0,0,0,0,0,0,0,0,0,0,0
725,tolak atur presiden tenaga kerja asing tolak atur presiden tenaga kerja asing 2019 ganti presiden 2019 presiden hai mahasiswa indonesia nih hadiah lipstik kolor seora kakek tuka becak,1,0,0,1,0,0,0,0,1,0,1,0
726,kelakar haha klaka pon cerita cinta monyet sekolah mene ah,0,0,0,0,0,0,0,0,0,0,0,0
727,diam bua,0,1,0,0,0,0,0,0,0,0,0,0
728,duku rejim 2 periode seri viralkan ceramah wawancaran tuan guru bajang,0,0,0,0,0,0,0,0,0,0,0,0
729,anak pmr calon dokter cupu,0,0,0,0,0,0,0,0,0,0,0,0
